Metric,Value
MAE (Min),24.207962962962963
MAE (Max),15.851685185185184
MAPE (Min),11.379649899641791
MAPE (Max),7.1765773494759575
RMSE (Min),47.08924681487901
RMSE (Max),39.15883050948241
